Facility_ID,Installation_ID,Facility_Name,Designation,Unit,Facility_Type,Operating_Model,Program_Type,Contract_Type,Primary_PV,POS_Terminals_Raw,POC_Display_Name,In_R1_Scope,Source_Row,Source_System,Facility_DODAAC,Contract_ID,Active_Flag
RAMSTEIN_AB|JAWBONE_FK,RAMSTEIN_AB,Jawbone FK,,N/A,,Legacy/APF,Legacy - LN,Mess Attendant,TWI,8,MSgt Chermara Walley,TRUE,159,Mission Feeding QRG,,,TRUE
RAMSTEIN_AB|SILVER_FLAG,RAMSTEIN_AB,Silver Flag,SILVER FLAG,N/A,,Legacy/APF,Legacy - LN,Local National Support,TWI,Silver Flag – N/A,MSgt Chermara Walley,TRUE,163,Mission Feeding QRG,,,TRUE
ROBINS_AFB|WYNN,ROBINS_AFB,Wynn,,78 FSS,,Legacy/APF,Legacy - RSA,Full Food Service,Reinhardt,Wynn – 4 FK – 1,TSgt Brent Smith,TRUE,167,Mission Feeding QRG,,,TRUE
SCHRIEVER_SFB|SATELLITE_DISH,SCHRIEVER_SFB,Satellite Dish,,50 FSS,,Legacy/APF,Legacy - RSA,Full Food Service,Shamrock,Satellite Dish – 4,TSgt Emilee Hinson,TRUE,168,Mission Feeding QRG,,,TRUE
SCOTT_AFB|NIGHTINGALE_INN,SCOTT_AFB,Nightingale Inn,,375 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Greg Featherstone,FALSE,170,Mission Feeding QRG,,,TRUE
SEYMOUR_AFB|SOUTHERN_EAGLE_DFAC,SEYMOUR_AFB,Southern Eagle DFAC,,4 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Sysco,,Mr. Tyrone Merriweather,FALSE,171,Mission Feeding QRG,,,TRUE
SEYMOUR_AFB|AFTERBURNER,SEYMOUR_AFB,Afterburner,,4 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Sysco,,Mr. Tyrone Merriweather,FALSE,172,Mission Feeding QRG,,,TRUE
SHAW_AFB|CMSGT_WILLIAMS_DFAC,SHAW_AFB,CMSgt Williams DFAC,,20 FSS,,Food 2.0,Food 2.0 - In Development,,US Foods,,Mr. Tyrone Merriweather,FALSE,173,Mission Feeding QRG,,,TRUE
SHEPPARD_AFB|MESQUITE,SHEPPARD_AFB,Mesquite,,82 FSS,,Legacy/APF,Food 2.0 - In Development,Full Food Service,US Foods,"Mesquite–8, Sage-8",TSgt Aqueriya Stroud,TRUE,174,Mission Feeding QRG,,,TRUE
SHEPPARD_AFB|SAGEBRUSH,SHEPPARD_AFB,Sagebrush,,82 FSS,,Legacy/APF,Food 2.0 - In Development,Full Food Service,US Foods,"Mesquite–8, Sage-8",TSgt Aqueriya Stroud,TRUE,179,Mission Feeding QRG,,,TRUE
SHEPPARD_AFB|TUMBLEWEED,SHEPPARD_AFB,Tumbleweed,,82 FSS,,Legacy/APF,Food 2.0 - In Development,Full Food Service,US Foods,"Mesquite–8, Sage-8",TSgt Aqueriya Stroud,TRUE,184,Mission Feeding QRG,,,TRUE
SPANGDAHLEM_AB|MOSEL_INN,SPANGDAHLEM_AB,Mosel Inn,,52 FSS,,Legacy/APF,Legacy - LN,Local National Support,TWI,3,TSgt Dante Tillman,TRUE,189,Mission Feeding QRG,,,TRUE
SPANGDAHLEM_AB|FK,SPANGDAHLEM_AB,FK,,52 FSS,,Legacy/APF,Legacy - LN,Local National Support,TWI,3,TSgt Dante Tillman,TRUE,191,Mission Feeding QRG,,,TRUE
